MCC;Name
742;Veterinary services
743;Wine producers
744;Champagne producers
763;Agricultural Cooperatives
780;Landscaping and horticultural services
1353;Dia (Spain)-Hypermarkets of Food
1406;H&M Moda (Spain)-Retail Merchants
1520;General contractors — residential and commercial
1711;Heating, plumbing and air-conditioning contractors
1731;Electrical contractors
1740;Masonry, stonework, tile setting, plastering and insulation contractors
1750;Carpentry contractors
1761;Roofing, siding and sheet metal work contractors
1771;Concrete work contractors
1799;Special trade contractors — not elsewhere classified
2741;Miscellaneous publishing and printing services
2791;Typesetting, platemaking and related services
2842;Speciality cleaning, polishing and sanitation preparations
3000;Airlines (3000)
3001;Airlines (3001)
3002;Airlines (3002)
3003;Airlines (3003)
3004;Airlines (3004)
3005;Airlines (3005)
3006;Airlines (3006)
3007;Airlines (3007)
3008;Airlines (3008)
3009;Airlines (3009)
3010;Airlines (3010)
3011;Airlines (3011)
3012;Airlines (3012)
3013;Airlines (3013)
3014;Airlines (3014)
3015;Airlines (3015)
3016;Airlines (3016)
3017;Airlines (3017)
3018;Airlines (3018)
3019;Airlines (3019)
3020;Airlines (3020)
3021;Airlines (3021)
3022;Airlines (3022)
3023;Airlines (3023)
3024;Airlines (3024)
3025;Airlines (3025)
3026;Airlines (3026)
3027;Airlines (3027)
3028;Airlines (3028)
3029;Airlines (3029)
3030;Airlines (3030)
3031;Airlines (3031)
3032;Airlines (3032)
3033;Airlines (3033)
3034;Airlines (3034)
3035;Airlines (3035)
3036;Airlines (3036)
3037;Airlines (3037)
3038;Airlines (3038)
3039;Airlines (3039)
3040;Airlines (3040)
3041;Airlines (3041)
3042;Airlines (3042)
3043;Airlines (3043)
3044;Airlines (3044)
3045;Airlines (3045)
3046;Airlines (3046)
3047;Airlines (3047)
3048;Airlines (3048)
3049;Airlines (3049)
3050;Airlines (3050)
3051;Airlines (3051)
3052;Airlines (3052)
3053;Airlines (3053)
3054;Airlines (3054)
3055;Airlines (3055)
3056;Airlines (3056)
3057;Airlines (3057)
3058;Airlines (3058)
3059;Airlines (3059)
3060;Airlines (3060)
3061;Airlines (3061)
3062;Airlines (3062)
3063;Airlines (3063)
3064;Airlines (3064)
3065;Airlines (3065)
3066;Airlines (3066)
3067;Airlines (3067)
3068;Airlines (3068)
3069;Airlines (3069)
3070;Airlines (3070)
3071;Airlines (3071)
3072;Airlines (3072)
3073;Airlines (3073)
3074;Airlines (3074)
3075;Airlines (3075)
3076;Airlines (3076)
3077;Airlines (3077)
3078;Airlines (3078)
3079;Airlines (3079)
3080;Airlines (3080)
3081;Airlines (3081)
3082;Airlines (3082)
3083;Airlines (3083)
3084;Airlines (3084)
3085;Airlines (3085)
3086;Airlines (3086)
3087;Airlines (3087)
3088;Airlines (3088)
3089;Airlines (3089)
3090;Airlines (3090)
3091;Airlines (3091)
3092;Airlines (3092)
3093;Airlines (3093)
3094;Airlines (3094)
3095;Airlines (3095)
3096;Airlines (3096)
3097;Airlines (3097)
3098;Airlines (3098)
3099;Airlines (3099)
3100;Airlines (3100)
3101;Airlines (3101)
3102;Airlines (3102)
3103;Airlines (3103)
3104;Airlines (3104)
3105;Airlines (3105)
3106;Airlines (3106)
3107;Airlines (3107)
3108;Airlines (3108)
3109;Airlines (3109)
3110;Airlines (3110)
3111;Airlines (3111)
3112;Airlines (3112)
3113;Airlines (3113)
3114;Airlines (3114)
3115;Airlines (3115)
3116;Airlines (3116)
3117;Airlines (3117)
3118;Airlines (3118)
3119;Airlines (3119)
3120;Airlines (3120)
3121;Airlines (3121)
3122;Airlines (3122)
3123;Airlines (3123)
3124;Airlines (3124)
3125;Airlines (3125)
3126;Airlines (3126)
3127;Airlines (3127)
3128;Airlines (3128)
3129;Airlines (3129)
3130;Airlines (3130)
3131;Airlines (3131)
3132;Airlines (3132)
3133;Airlines (3133)
3134;Airlines (3134)
3135;Airlines (3135)
3136;Airlines (3136)
3137;Airlines (3137)
3138;Airlines (3138)
3139;Airlines (3139)
3140;Airlines (3140)
3141;Airlines (3141)
3142;Airlines (3142)
3143;Airlines (3143)
3144;Airlines (3144)
3145;Airlines (3145)
3146;Airlines (3146)
3147;Airlines (3147)
3148;Airlines (3148)
3149;Airlines (3149)
3150;Airlines (3150)
3151;Airlines (3151)
3152;Airlines (3152)
3153;Airlines (3153)
3154;Airlines (3154)
3155;Airlines (3155)
3156;Airlines (3156)
3157;Airlines (3157)
3158;Airlines (3158)
3159;Airlines (3159)
3160;Airlines (3160)
3161;Airlines (3161)
3162;Airlines (3162)
3163;Airlines (3163)
3164;Airlines (3164)
3165;Airlines (3165)
3166;Airlines (3166)
3167;Airlines (3167)
3168;Airlines (3168)
3169;Airlines (3169)
3170;Airlines (3170)
3171;Airlines (3171)
3172;Airlines (3172)
3173;Airlines (3173)
3174;Airlines (3174)
3175;Airlines (3175)
3176;Airlines (3176)
3177;Airlines (3177)
3178;Airlines (3178)
3179;Airlines (3179)
3180;Airlines (3180)
3181;Airlines (3181)
3182;Airlines (3182)
3183;Airlines (3183)
3184;Airlines (3184)
3185;Airlines (3185)
3186;Airlines (3186)
3187;Airlines (3187)
3188;Airlines (3188)
3189;Airlines (3189)
